資料索引,新聞標題,時間戳記,發布時間,新聞來源,文章連結,說明摘要,抓取人員,抓取時間
1784610543000,天堂之父宋在京公開《Open MMORPG》原始碼 AI代理程式將與人類玩家享有平等公民權 - Ludens Media,1784610543,"2026-07-21 13:09:03, Tue",Ludens Media,https://news.google.com/rss/articles/CBMidkFVX3lxTE9rLWFrQndEb0dkVXplS2VITG1YOVNGaTV4LTl3UHdSeTdNejJjUmZJa0t1cG5MOVJvMkE5TUZHNnJUTlVFUlhMUzNvNUNnaHRWVnBWSlhFOENJR1dEMUFJcW5YQnBZLWhpNXRCMmMxX0ZYZGppZHc?oc=5&hl=en-US&gl=US&ceid=US:en,天堂之父宋在京公開《Open MMORPG》原始碼 AI代理程式將與人類玩家享有平等公民權  Ludens Media,sys,2026-07-21 16:49:18
1784610928000,AI趨勢周報第290期：Bun創辦人用AI重寫53萬行程式碼，11天搞定 - iThome,1784610928,"2026-07-21 13:15:28, Tue",iThome,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9wRi1IWnBDYTdZUUlHcjZwVEZMS0lEQ0Jnbk9jU3htNG1QaFV5bW1YR2tfS0RsU1E3dXBJWm1PTkFybGxmRDNFWEZCa2ZQZw?oc=5&hl=en-US&gl=US&ceid=US:en,AI趨勢周報第290期：Bun創辦人用AI重寫53萬行程式碼，11天搞定  iThome,sys,2026-07-21 16:49:18
1784611200000,美學者認了！陸人工智慧追平美國 喊話川普：別打AI戰、跟北京合作 - 蕃新聞,1784611200,"2026-07-21 13:20:00, Tue",蕃新聞,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9ERjlxRXVma3czYXFkMk5pTlFUdnU3VFp5NmNFLUpvRzIxdVdPZjhLRDRuZGh4cnZiLXZ5Zkk1QXV4eGMzZExjU2Q0dy14N1NiWFE?oc=5&hl=en-US&gl=US&ceid=US:en,美學者認了！陸人工智慧追平美國 喊話川普：別打AI戰、跟北京合作  蕃新聞,sys,2026-07-21 16:49:18
1784612640000,臺師大HR-AI實驗室 獲選AMD-ITRI高速運算平台團隊 - 蕃新聞,1784612640,"2026-07-21 13:44:00, Tue",蕃新聞,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9FU05RQVY2MkF3X0pLMGZPTUF0TW1xdF9jR2lUZ01JWXExcWNxdUNsNXIteXZKcGVjQ3E0aFBlU0VlVFM1Nko3Q0VscWdHX3R2Mnc?oc=5&hl=en-US&gl=US&ceid=US:en,臺師大HR-AI實驗室 獲選AMD-ITRI高速運算平台團隊  蕃新聞,sys,2026-07-21 16:49:18
1784613475000,SK海力士暴漲暴跌！董座崔泰源親揭原因 - 自由時報,1784613475,"2026-07-21 13:57:55, Tue",自由時報,https://news.google.com/rss/articles/CBMiWEFVX3lxTE93cldJUnZjR2VXTDRqT2RNbHVRWDl3T3lyR0pjam5aYUFSTjJoZm8xZEdvVU9fOWViQUxNVTlRcmJEUDZKRFY5VUNvMXZfNEVkanlzaFc1TVU?oc=5&hl=en-US&gl=US&ceid=US:en,SK海力士暴漲暴跌！董座崔泰源親揭原因  自由時報,sys,2026-07-21 16:49:18
1784620223000,東擎科技攜手Axelera AI 推動高效能AI推論應用 - ttv.com.tw,1784620223,"2026-07-21 15:50:23, Tue",ttv.com.tw,https://news.google.com/rss/articles/CBMikgFBVV95cUxPb3M3RmN4OTNleW40SUUydHlITnJpV0k3WUwxZHNIbzI3cWdHSjcxRUxyZVZEUFR3R2wxV3NGR2JDTW8xWHJoc29SMjF3SE9XUzdmQ0c3Y3BlWk03eGdrOTRRMElBc0hVWTBNREhLVHdmT3R6QXUycWVBeU55ZWlHWnozeWhTXzNHakdrSE9TbEpodw?oc=5&hl=en-US&gl=US&ceid=US:en,東擎科技攜手Axelera AI 推動高效能AI推論應用  ttv.com.tw,sys,2026-07-21 16:49:18
1784620583000,美AI學者喊話特朗普：跟中國合作吧，早說美國贏不了 - flamingwheels.online,1784620583,"2026-07-21 15:56:23, Tue",flamingwheels.online,https://news.google.com/rss/articles/CBMidEFVX3lxTE5UdVF3aVY2OXRJQVl2Qy1MckhWMmpYZHlleEt5dDNHYzEwWTFCU1haN09LcVZwci1jNFY3WVpGSFFISGlMZ1FMeVk4TXplMXQ5aGtWT2FHNlRnR256R21naVNXTDV2MTFnenBUWG53VTZKWl81?oc=5&hl=en-US&gl=US&ceid=US:en,美AI學者喊話特朗普：跟中國合作吧，早說美國贏不了  flamingwheels.online,sys,2026-07-21 16:49:18
1784620620000,美國據報考慮限制中國AI模型 以保護本土企業 - 堅料網,1784620620,"2026-07-21 15:57:00, Tue",堅料網,https://news.google.com/rss/articles/CBMi-gJBVV95cUxQQnNSbVdkNmt0QkRUNHFaRFdNN0VGODh0dktXR2swVGVHeGxqUU9ZYjdfZ2VFWE9sNGJUVnpwOUQ3VU40T3ZXTTRxU0RlS1FoV0VnMXA1bWM0MWxLZHJkQjBlV2tES1FINXNxQ0lLZ1BSY3JsQW9UT2ZqaXZCMUFleTd5Qlo1RU5CMGh1YTh0QjFCaDlsUXZ3c2lLYkJjTnBObjZfbnZGV2Q0YzJmWThKRVZWdC1xMFRqQkgwRWtDaFZ3MjJIQlBIWlZEblVOUkdaZUxzbXZtYlVkZnFRWW94Q3ByeWpuUDl3MEg0R01KekYzdk05alNobFVIcmdVSHVRY3EtNmdwd0xzVDZzcjhkZUpOZ0pxbE1rdms4akJZRTRzZEZmT3VtS2Z3eUVuOS1WRnV1QTRpZ2wyRWpYanJEZUFBdUhtb0kycWlrM1J1YnVwZVQ2c1FxUG5ydDBwUkxNa3NlZFoxV3pORVh6elAtdEVJRGo4eWxUS2c?oc=5&hl=en-US&gl=US&ceid=US:en,美國據報考慮限制中國AI模型 以保護本土企業  堅料網,sys,2026-07-21 16:49:18
1784621885000,AI招聘不只「複製偏見」 研究發現還會自行建立新刻板印象 - 科技新聞 - PChome Online 新聞 - PChome Online 新聞,1784621885,"2026-07-21 16:18:05, Tue",PChome Online 新聞,https://news.google.com/rss/articles/CBMijAFBVV95cUxNZHV4amw1VzEtdHpJYUpFRlcyRldseXBLemRmYlZ3cFoyR1YwbDd1d3hseklyRk54UkZ3OHBOUWdJTnhVZ1g0VkZyWEJ5NWkxbFphX3pHQ1ZUMnh2Z0pPb2Vzck9FSFBfQlZiZVJJNEp4NnNXLVphbVA5Z04yTzRwQ2xmUTJWRThJMVdBaA?oc=5&hl=en-US&gl=US&ceid=US:en,AI招聘不只「複製偏見」 研究發現還會自行建立新刻板印象 - 科技新聞 - PChome Online 新聞  PChome Online 新聞,sys,2026-07-21 16:49:18
